Invoice Date,Invoice ID,Invoice Gas Station Location,Gross Purchase Cost,Amount Purchased,Fuel Type
2/7/2017,10118,1,32270.62025,26085.152,G
2/7/2017,10119,4,12518.35087,9358.544,D
2/7/2017,10120,5,11526.57345,9813.68,G
2/7/2017,10121,5,677.58839,506.56,D
2/8/2017,10122,2,9463.525,8057.2,G
2/8/2017,,2,,,
2/8/2017,10123,2,15137.85459,12888.288,G
2/8/2017,10124,4,13248.935,11280.08,G
2/9/2017,10125,1,11356.23,9668.64,G
2/9/2017,10126,1,8335.47282,6231.488,D
2/9/2017,10127,2,7574.60541,5662.672,D
2/9/2017,10128,2,18930.83541,13808.352,D
2/10/2017,10129,1,5678.115,4834.32,G
2/10/2017,10130,1,32285.76189,26097.376,G
2/10/2017,10131,4,9463.525,7074.8,D
2/13/2017,10132,1,1514.164,1289.152,G
2/13/2017,10133,1,6295.13683,5359.632,G
2/13/2017,10134,1,2649.787,1980.944,D
2/13/2017,10135,1,14380.77259,10750.864,D
2/13/2017,10136,1,9898.84715,7400.256,D
2/14/2017,10137,1,30283.28,24478.72,G
2/14/2017,10138,2,15141.64,11319.68,D
2/14/2017,10139,5,9084.984,7734.912,G
2/14/2017,10140,5,9463.525,7074.8,D
2/15/2017,10141,1,11734.771,9990.928,G
2/15/2017,10142,1,7949.361,5942.832,D
2/15/2017,10143,2,9463.525,8057.2,G
2/15/2017,10144,2,11352.44459,9665.408,G
2/15/2017,10145,4,9463.525,8057.2,G
2/17/2017,10146,1,32175.985,26008.64,G
2/17/2017,10147,1,6056.656,5156.608,G
2/17/2017,10148,1,10224.39241,7643.616,D
2/17/2017,10149,1,5310.93023,3970.368,D
2/17/2017,10150,2,9459.73959,7071.968,D
2/17/2017,10151,2,12113.312,9055.744,D
2/17/2017,10152,3,9463.525,8057.2,G
2/17/2017,10153,3,11390.29869,8515.232,D
2/17/2017,10154,4,11424.36738,8540.704,D
2/17/2017,10155,5,7570.82,6445.76,G
2/20/2017,10156,1,9853.42223,7366.272,D
2/20/2017,10157,1,11356.23,9668.64,G
2/21/2017,10158,1,32281.97648,26094.32,G
2/21/2017,10159,1,13642.61764,11615.248,G
2/21/2017,10160,2,10977.689,9346.352,G
2/21/2017,10161,2,11363.80082,9675.088,G
2/21/2017,10162,2,11356.23,9668.64,G
2/22/2017,10163,1,1892.705,1843.44,G
2/22/2017,10164,1,9088.76941,6794.608,D
2/22/2017,10165,1,9463.525,7074.8,D
2/22/2017,10166,2,9425.6709,7046.496,D
2/22/2017,10167,5,6847.80669,5830.192,G
2/22/2017,10168,5,11280.5218,8433.168,D
2/23/2017,10169,4,9463.525,7074.8,D
2/24/2017,10170,1,32281.97648,26094.32,G
2/24/2017,10171,1,8361.97069,6251.296,D
2/24/2017,,1,,,
2/24/2017,10172,1,11356.23,9668.64,G
2/24/2017,10173,2,11356.23,8489.76,D
2/24/2017,10174,2,10220.607,7640.784,D
2/24/2017,10175,8,15141.64,12891.52,G
2/27/2017,10176,1,11356.23,9668.64,G
2/27/2017,10177,1,10777.06227,8056.784,D
2/27/2017,10178,4,10163.82585,8653.44,G
2/28/2017,10179,1,32175.985,26008.64,G
2/28/2017,10180,1,12866.60859,9618.896,D
2/28/2017,10181,5,9474.88123,8066.864,G
3/1/2017,10182,1,13627.476,10187.712,D
3/1/2017,10183,1,8327.902,7090.336,G
3/1/2017,10184,2,10970.11818,9339.904,G
3/1/2017,10185,2,13627.476,11602.368,G
3/1/2017,10186,4,9842.066,7357.792,D
3/1/2017,10187,5,9088.76941,6794.64,D
3/2/2017,10188,2,15141.64,11319.68,D
3/2/2017,10189,2,9459.73959,7071.968,D
3/3/2017,10190,1,30283.28,24478.72,G
3/3/2017,10191,1,8706.443,7412.624,G
3/3/2017,10192,1,7570.82,5659.84,D
3/6/2017,10193,1,8695.08677,7402.96,G
3/6/2017,10194,1,12548.63415,9381.2,D
3/6/2017,10195,1,8327.902,6225.824,D
3/6/2017,10196,4,9463.525,8057.2,G
3/6/2017,10197,5,9463.525,8057.2,G
3/6/2017,,5,,,
3/7/2017,10198,1,32172.19959,26005.584,G
3/7/2017,10199,2,9463.525,7074.8,D
3/7/2017,10200,2,15141.64,11319.68,D
3/7/2017,10201,3,15141.64,11319.68,D
3/7/2017,10202,4,9459.73959,7071.968,D
3/7/2017,10203,6,13248.935,11280.08,G
3/8/2017,10204,1,5678.115,4244.88,D
3/8/2017,10205,1,7574.60541,6448.992,G
3/8/2017,10206,1,13324.6432,11344.544,G
3/8/2017,10207,2,14380.77259,12243.712,G
3/8/2017,10208,2,10220.607,8701.776,G
3/10/2017,10209,1,6435.197,5478.896,G
3/10/2017,10210,1,32175.985,26008.64,G
3/10/2017,10211,1,6245.9265,4669.376,D
3/10/2017,10212,1,8706.443,6508.816,D
3/10/2017,10213,2,11291.87803,8441.648,D
3/10/2017,10214,4,12491.853,10635.504,G
3/10/2017,10215,5,11360.01541,9671.872,G
3/13/2017,10216,1,9842.066,8379.488,G
3/13/2017,10217,1,7105.21457,5311.76,D
3/13/2017,10218,3,15141.64,12891.52,G
3/13/2017,10219,4,9429.45631,7049.328,D
3/13/2017,10220,5,9471.09582,7080.464,D
3/14/2017,10221,1,7567.03459,5657.008,D
3/14/2017,10222,1,32175.985,26008.64,G
3/14/2017,10223,2,9334.82106,7947.632,G
3/14/2017,10224,2,7313.41212,6226.608,G
3/15/2017,10225,1,7570.82,5659.84,D
3/15/2017,10226,1,9842.066,8379.488,G
3/15/2017,10227,1,5806.81894,4943.888,G
3/15/2017,10228,2,11356.23,8489.76,D
3/15/2017,10229,2,7570.82,5659.84,D
3/15/2017,10230,4,9467.31041,8060.432,G
3/15/2017,,4,,,
3/15/2017,10231,4,3785.41,2829.92,D
3/16/2017,10232,1,9463.525,7074.8,D
3/16/2017,10233,2,7578.39082,5665.504,D
3/16/2017,10234,2,11367.58623,8498.24,D
3/16/2017,10235,5,7570.82,6444.896,G
3/16/2017,10236,5,9463.525,7074.8,D
3/16/2017,10237,6,13230.00795,9890.576,D
3/17/2017,10238,1,9463.525,8057.2,G
3/17/2017,10239,1,9467.31041,7077.632,D
3/17/2017,10240,1,4565.20446,3412.896,D
3/17/2017,10241,1,18930.83541,15773.552,G
3/20/2017,10242,1,9096.34023,6800.288,D
3/20/2017,10243,1,8327.902,7090.336,G
3/20/2017,10244,4,9463.525,7074.8,D
3/21/2017,10245,1,7627.60115,6494.112,G
3/21/2017,10246,1,32172.19959,26005.584,G
3/21/2017,10247,2,9463.525,8057.2,G
3/21/2017,10248,2,11352.44459,9665.408,G
3/22/2017,10249,1,8706.443,6508.816,D
3/22/2017,10250,2,15149.21082,11325.344,D
3/22/2017,10251,2,14392.12882,10759.36,D
3/22/2017,10252,4,12109.52659,10309.984,G
3/23/2017,10253,1,10599.148,7923.776,D
3/23/2017,10254,1,9459.73959,8053.968,G
3/23/2017,10255,4,8327.902,6225.824,D
3/23/2017,10256,5,8327.902,7090.336,G
3/24/2017,10257,1,30283.28,24478.72,G
3/25/2017,10258,1,7953.14641,6771.28,G
3/25/2017,10259,1,8706.443,6435.216,D
3/27/2017,10260,1,4451.64216,3790.112,G
3/27/2017,10261,1,5299.574,3917.088,D
3/27/2017,10262,5,8706.443,6435.216,D
3/28/2017,10263,1,32175.985,26008.64,G
3/28/2017,10264,2,9463.525,8057.2,G
3/28/2017,10265,2,11356.23,9668.64,G
3/28/2017,10266,2,12915.81892,9546.496,D
3/29/2017,10267,1,12874.17941,9515.728,D
3/29/2017,10268,1,9463.525,6994.8,D
3/30/2017,10269,1,10303.88602,8772.688,G
3/30/2017,10270,2,7585.96164,5607.024,D
3/30/2017,10271,2,15152.99623,10924.656,D
3/30/2017,10272,3,13165.65598,9731.168,D
3/30/2017,10273,4,9633.86845,7120.72,D
3/30/2017,10274,4,10637.0021,9056.288,G
3/31/2017,10275,1,32187.34123,26017.808,G
3/31/2017,10276,1,3785.41,2797.92,D
3/31/2017,10277,1,3785.41,3222.88,G
4/3/2017,10278,1,11356.23,8393.76,D
4/3/2017,10279,1,9467.31041,8060.432,G
4/3/2017,10280,2,11356.23,8393.76,D
4/3/2017,10281,5,13245.14959,11276.848,G
4/4/2017,10282,1,32183.55582,26014.768,G
4/4/2017,10283,2,12117.09741,10316.448,G
4/4/2017,,2,,,
4/4/2017,10284,2,15141.64,12891.52,G
4/4/2017,10285,5,9096.34023,6723.392,D
4/5/2017,10286,1,7570.82,6445.76,G
4/5/2017,10287,1,13248.935,9792.72,D
4/5/2017,10288,1,11356.23,8393.76,D
4/5/2017,10289,2,11356.23,8393.76,D
4/5/2017,10290,2,11356.23,8393.76,D
4/5/2017,10291,4,9845.85141,8382.72,G
4/5/2017,10292,4,9584.65812,7084.336,D
4/6/2017,10293,5,7635.17197,6500.56,G
4/7/2017,10294,1,30366.55902,24546.032,G
4/7/2017,10295,1,9463.525,6994.8,D
4/7/2017,10296,1,7752.51968,6600.448,G
4/7/2017,10297,1,7570.82,6445.76,G
4/7/2017,10298,3,11341.08836,9655.76,G
4/10/2017,10299,1,10599.148,7834.176,D
4/10/2017,10300,1,7779.01755,6623.024,G
4/10/2017,10301,2,11254.02393,8318.208,D
4/10/2017,10302,5,9444.59795,6980.816,D
4/11/2017,10303,1,32153.27254,25990.272,G
4/11/2017,10304,1,11356.23,8393.76,D
4/11/2017,10305,2,9467.31041,8060.432,G
4/11/2017,10306,2,13252.72041,11283.312,G
4/11/2017,10307,4,9463.525,8057.2,G
4/11/2017,10308,4,9842.066,7274.592,D
4/11/2017,10309,6,12491.853,10635.504,G
4/11/2017,,6,,,
4/12/2017,10310,1,10981.47441,9349.584,G
4/12/2017,10311,1,13650.18846,12938.432,G
4/12/2017,10312,1,9084.984,6715.008,D
4/12/2017,10313,5,11367.58623,11574.752,G
4/13/2017,10314,2,11356.23,8393.76,D
4/13/2017,10315,2,11360.01541,8396.56,D
4/14/2017,10316,1,24226.624,24227.84,G
4/14/2017,10317,1,6435.197,4756.464,D
4/14/2017,10318,1,6435.197,4756.464,D
4/14/2017,10319,1,9463.525,9636,G
4/14/2017,10320,3,15368.7646,11527.024,D
4/17/2017,10321,1,8331.68741,7093.904,D
4/17/2017,10322,1,10288.74438,10476.256,G
4/17/2017,10323,2,17041.91582,14200.384,D
4/17/2017,10324,4,13192.15385,11232.304,D
4/17/2017,10325,4,11356.23,11563.2,G
4/18/2017,10326,1,30283.28,29530.88,G
4/18/2017,10327,2,11356.23,11563.2,G
4/18/2017,10328,2,11360.01541,11567.056,G
4/18/2017,10329,5,8710.22841,7416.208,D
4/18/2017,10330,5,8327.902,8479.68,G
4/19/2017,10331,1,11360.01541,9672.336,D
4/19/2017,10332,1,9084.984,7735.296,D
4/19/2017,10333,2,13438.2055,11441.792,D
4/20/2017,10334,1,9702.00583,9878.816,G
4/20/2017,10335,2,10614.28964,9037.392,D
4/21/2017,10336,1,30283.28,29530.88,G
4/21/2017,10337,1,7570.82,7708.8,G
4/21/2017,10338,1,7570.82,7708.8,G
4/21/2017,10339,4,9463.525,9636,G
4/21/2017,10340,4,11397.86951,9704.576,D
4/24/2017,10341,1,6809.95259,6934.064,G
4/24/2017,10342,1,15137.85459,12888.944,D
4/24/2017,10343,5,10300.10061,10487.824,G
4/25/2017,10344,1,30283.28,29530.88,G
4/25/2017,10345,1,11106.39294,9456.4,D
4/25/2017,10346,2,13245.14959,13486.544,G
4/25/2017,10347,2,9463.525,9636,G
4/26/2017,10348,1,9088.76941,7738.512,D
4/26/2017,10349,2,15145.42541,12620.112,D
4/26/2017,10350,2,15141.64,12892.16,D
4/26/2017,10351,3,15137.85459,15413.744,G
4/26/2017,,3,,,
4/26/2017,10352,5,9478.66664,8070.48,D
4/27/2017,10353,1,11356.23,11563.2,G
4/27/2017,10354,4,11356.23,11563.2,G
4/27/2017,10355,4,9463.525,8057.6,D
4/28/2017,10356,1,5526.6986,5627.424,G
4/28/2017,10357,1,8475.53299,7216.384,D
4/28/2017,10358,1,6681.24865,5688.672,D
4/28/2017,10359,1,32456.10534,31649.6,G
4/28/2017,10360,2,7570.82,6446.08,D
4/28/2017,10361,5,7612.45951,7751.2,G
4/28/2017,10362,8,18961.11869,18962.064,G
5/1/2017,10363,1,13245.14959,11277.424,D
5/1/2017,10364,1,9463.525,9636,G
5/1/2017,10365,2,9463.525,9636,G
5/1/2017,10366,2,15141.64,15417.6,G
5/2/2017,10367,1,32175.985,31376.56,G
5/2/2017,10368,1,7570.82,7708.8,G
5/2/2017,10369,2,10273.60274,8747.328,D
5/2/2017,10370,2,8706.443,7412.992,D
5/3/2017,10371,1,9463.525,9636,G
5/3/2017,10372,1,8706.443,7412.992,D
5/3/2017,10373,1,6435.197,5479.168,D
5/3/2017,10374,4,9463.525,8057.6,D
5/3/2017,10375,4,9463.525,9636,G
5/4/2017,10376,3,15266.55853,12721.04,D
5/4/2017,10377,5,8744.2971,7445.216,D
5/4/2017,10378,5,10625.64587,10819.312,G
5/5/2017,10379,1,32175.985,31376.56,G
5/5/2017,,1,,,
5/5/2017,10380,1,10977.689,11177.76,G
5/5/2017,10381,1,9463.525,8057.6,D
5/5/2017,10382,2,11356.23,9669.12,D
5/8/2017,10383,1,6813.738,6937.92,G
5/8/2017,10384,1,9463.525,8057.6,D
5/8/2017,10385,6,13362.4973,13606.032,G
5/9/2017,10386,1,32550.74059,31742,G
5/9/2017,10387,1,11541.71509,9827.056,D
5/9/2017,10388,2,7570.82,6446.08,D
5/9/2017,10389,2,11356.23,9669.12,D
5/9/2017,10390,2,11356.23,11563.2,G
5/9/2017,10391,2,13248.935,13490.4,G
5/9/2017,10392,4,9520.30615,9693.824,G
5/9/2017,10393,4,7578.39082,6452.528,D
5/10/2017,10394,1,9459.73959,8054.384,D
5/10/2017,10395,1,11371.37164,11578.608,G
5/10/2017,10396,1,12495.63841,12723.376,G
5/10/2017,10397,5,7744.94886,7886.112,G
5/10/2017,10398,5,7226.34769,6152.784,D
5/11/2017,10399,2,8320.33118,7084.24,D
5/11/2017,10400,2,8695.08677,7403.328,D
5/12/2017,10401,1,17412.886,17413.76,G
5/12/2017,10402,1,7816.87165,6655.584,D
5/12/2017,10403,1,5678.115,5781.6,G
5/12/2017,10404,2,7570.82,7708.8,G
5/12/2017,10405,2,5666.75877,5770.048,G
5/12/2017,10406,5,5689.47123,4844.224,D
5/12/2017,,5,,,
5/12/2017,10407,5,6510.9052,6629.568,G
5/15/2017,10408,1,12242.01594,10423.312,D
5/15/2017,10409,1,7570.82,7708.8,G
5/15/2017,10410,3,9845.85141,10025.296,G
5/15/2017,10411,3,7570.82,6446.08,D
5/15/2017,10412,4,9463.525,9636,G
5/16/2017,10413,1,32175.985,31376.56,G
5/16/2017,10414,1,11356.23,11563.2,G
5/16/2017,10415,2,8774.58038,7471.008,D
5/16/2017,10416,2,8320.33118,7084.24,D
5/16/2017,10417,2,8770.79497,8930.656,G
5/17/2017,10418,1,11889.97281,12106.672,G
5/17/2017,10419,1,9459.73959,8054.24,D
5/17/2017,10420,1,11356.23,9669.12,D
5/17/2017,10421,5,8278.69167,8429.584,G
5/18/2017,10422,2,9342.39188,9512.656,G
5/18/2017,10423,4,9463.525,9636,G
5/18/2017,10424,4,12881.75023,10968,D
5/18/2017,10425,7,2948.83439,3002.576,G
5/19/2017,10426,1,10481.80029,8924.592,D
5/19/2017,10427,1,32175.985,31376.56,G
5/19/2017,10428,1,7578.39082,7716.512,G
5/19/2017,10429,2,11367.58623,9678.784,D
5/19/2017,10430,2,7578.39082,6452.528,D
5/19/2017,10431,5,6586.6134,5608.096,D
5/23/2017,10432,1,5420.70712,5519.504,G
5/23/2017,10433,1,15141.64,12892.16,D
5/23/2017,10434,1,9357.53352,7967.344,D
5/23/2017,10435,1,32179.77041,31380.256,G
5/24/2017,10436,1,13631.26141,13879.696,G
5/24/2017,10437,5,643.5197,547.92,D
5/24/2017,,5,,,
5/24/2017,,5,,,
5/24/2017,10438,5,8956.28006,9119.52,G
5/25/2017,10439,1,7192.279,7323.36,G
5/25/2017,10440,1,9088.76941,7738.512,D
5/25/2017,10441,2,14891.80294,15163.2,G
5/25/2017,10442,2,9463.525,9636,G
5/25/2017,10443,2,12313.93873,10484.544,D
5/25/2017,10444,2,12321.50955,10491.008,D
5/25/2017,10445,4,9463.525,8057.6,D
5/25/2017,10446,4,9463.525,9636,G
5/26/2017,10447,1,3520.4313,3584.592,G
5/26/2017,10448,1,3664.27688,3119.904,D
5/26/2017,10449,1,24237.98023,24239.184,G
5/26/2017,10450,5,6813.738,5801.472,D
5/26/2017,10451,5,6844.02128,6968.752,G
5/29/2017,10452,1,13248.935,13490.4,G
5/29/2017,10453,1,9463.525,8057.6,D
5/29/2017,10454,1,15141.64,12892.16,D
5/30/2017,10455,1,30287.06541,29534.576,G
5/30/2017,10456,2,11356.23,9669.12,D
5/30/2017,10457,2,9088.76941,9254.416,G
5/30/2017,10458,3,11004.18687,9369.376,D
5/30/2017,10459,3,9467.31041,9639.856,G
5/31/2017,10460,1,6817.52341,6941.776,G
5/31/2017,10461,2,9463.525,9636,G
5/31/2017,10462,2,11360.01541,9672.336,D
5/31/2017,10463,4,9467.31041,8060.816,D
5/31/2017,,4,,,
5/31/2017,,4,,,
5/31/2017,10464,4,9845.85141,10025.296,G
5/31/2017,10465,5,6741.81521,6864.688,G
6/1/2017,10466,1,15346.05214,15346.816,G
6/1/2017,10467,1,9463.525,8057.6,D
6/2/2017,10468,1,7570.82,6446.08,D
6/2/2017,10469,1,6435.197,6552.48,G
6/2/2017,10470,1,8290.0479,7058.464,D
6/2/2017,10471,1,19684.132,19685.12,G
6/2/2017,10472,1,3789.19541,3790.032,G
6/2/2017,10473,2,9474.88123,8067.264,D
6/2/2017,10474,2,13218.65172,11254.848,D
6/2/2017,10475,5,6056.656,5156.864,D
6/2/2017,10476,6,9463.525,9636,G
6/2/2017,10477,6,11363.80082,11570.912,G
6/5/2017,10478,1,7949.361,8094.24,G
6/5/2017,10479,1,15804.08675,13456.208,D
6/5/2017,10480,1,5023.23907,4276.976,D
6/5/2017,10481,2,7570.82,6689.6,G
6/5/2017,10482,2,7574.60541,7712.656,G
6/5/2017,10483,5,7832.01329,7974.752,G
6/6/2017,10484,1,24325.04466,24326.272,G
6/6/2017,10485,1,11250.23852,11455.28,G
6/6/2017,10486,2,9448.38336,8044.72,D
6/6/2017,10487,2,7567.03459,6442.864,D
6/6/2017,10488,4,7570.82,6446.08,D
6/6/2017,10489,4,11360.01541,11567.056,G
6/7/2017,10490,1,7570.82,7708.8,G
6/7/2017,10491,1,6056.656,5156.864,D
6/8/2017,10492,5,7570.82,7708.8,G
6/8/2017,10493,5,6454.12405,5495.296,D
6/9/2017,10494,1,10209.25077,10395.328,G
6/9/2017,10495,1,11371.37164,9682,D
6/9/2017,10496,1,7585.96164,6458.96,D
6/9/2017,10497,1,31040.362,30269.152,G
6/9/2017,10498,2,9474.88123,9647.552,G
6/9/2017,10499,2,9482.45205,8073.728,D
6/9/2017,10500,2,11356.23,9669.12,D
6/9/2017,10501,2,11356.23,11563.2,G
6/9/2017,10502,4,7574.60541,6449.296,D
6/9/2017,10503,4,8695.08677,8853.568,G
6/12/2017,10504,1,5295.78859,4509.04,D
6/12/2017,10505,1,13252.72041,11283.856,D
6/12/2017,10506,1,11136.67622,11339.648,G
6/13/2017,10507,1,32175.985,31376.56,G
6/14/2017,10508,1,779.79446,794.016,G
6/14/2017,10509,1,7570.82,7708.8,G
6/14/2017,10510,2,7574.60541,7712.656,G
6/14/2017,10511,2,9478.66664,9651.408,G
6/14/2017,10512,2,9463.525,8057.6,D
6/14/2017,10513,2,8706.443,7412.992,D
6/14/2017,10514,3,7574.60541,7712.656,G
6/14/2017,10515,5,7570.82,7708.8,G
6/14/2017,10516,5,7570.82,6446.08,D
6/14/2017,10517,8,9463.525,9636,G
6/14/2017,,8,,,
6/14/2017,,8,,,
6/14/2017,10518,8,9463.525,8057.6,D
6/15/2017,10519,1,7570.82,6446.08,D
6/15/2017,10520,3,7949.361,6768.384,D
6/16/2017,10521,1,1888.91959,2154.88,G
6/16/2017,10522,1,32175.985,31376.56,G
6/16/2017,10523,1,8335.47282,8487.392,G
6/16/2017,10524,1,8274.90626,7045.568,D
6/16/2017,10525,1,8706.443,7412.992,D
6/16/2017,10526,2,9202.33171,7835.216,D
6/16/2017,10527,4,11360.01541,9672.336,D
6/16/2017,10528,4,11356.23,11563.2,G
6/16/2017,10529,5,5681.90041,5785.456,G
6/16/2017,10530,7,3005.61554,3060.384,G
6/19/2017,10531,1,12491.853,10636.032,D
6/19/2017,10532,1,7192.279,7323.36,G
6/19/2017,10533,1,13627.476,13875.84,G
6/20/2017,10534,1,22712.46,22713.6,G
6/20/2017,10535,1,9838.28059,8376.688,D
6/20/2017,10536,2,7578.39082,7716.512,G
6/20/2017,10537,2,11356.23,11563.2,G
6/20/2017,10538,2,11356.23,9669.12,D
6/20/2017,10539,2,7570.82,6446.08,D
6/21/2017,10540,1,9463.525,9636,G
6/21/2017,10541,1,12491.853,10636.032,D
6/21/2017,10542,3,8377.11233,8529.776,G
6/21/2017,,3,,,
6/21/2017,10543,5,6435.197,6552.48,G
6/21/2017,10544,5,7589.74705,6462.208,D
6/22/2017,10545,1,7260.41638,7392.736,G
6/22/2017,10546,4,9463.525,8057.6,D
6/22/2017,10547,4,11352.44459,11559.344,G
6/23/2017,10548,1,8327.902,8479.68,G
6/23/2017,10549,1,7559.46377,6436.416,D
6/23/2017,10550,1,30661.821,29900.016,G
6/23/2017,10551,2,6446.55323,6564.032,G
6/23/2017,10552,2,7589.74705,7728.08,G
6/23/2017,10553,2,9467.31041,8060.816,D
6/23/2017,10554,2,9879.9201,8412.128,D
6/26/2017,10555,1,13252.72041,11283.856,D
6/26/2017,10556,1,13248.935,13574.4,G
